"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009/2010","Saskatchewan","2016A000247","Population","Persons","249","thousands","3","v123220298","9.2","1039.5","","","","1"
"2009/2010","Saskatchewan","2016A000247","Per capita transport expenditures","Dollars","81","units ","0","v123220299","9.3","552.9","","","","1"
"2009/2010","Alberta","2016A000248","Transport expenditures","Dollars","81","millions","6","v123220300","10.1","3160.1","","","","1"
"2009/2010","Alberta","2016A000248","Population","Persons","249","thousands","3","v123220301","10.2","3694.5","","","","1"
"2009/2010","Alberta","2016A000248","Per capita transport expenditures","Dollars","81","units ","0","v123220302","10.3","855.3","","","","1"
"2009/2010","British Columbia","2016A000259","Transport expenditures","Dollars","81","millions","6","v123220303","11.1","2306.5","","","","1"
"2009/2010","British Columbia","2016A000259","Population","Persons","249","thousands","3","v123220304","11.2","4431.7","","","","1"
"2009/2010","British Columbia","2016A000259","Per capita transport expenditures","Dollars","81","units ","0","v123220305","11.3","520.5","","","","1"
"2009/2010","Yukon","2016A000260","Transport expenditures","Dollars","81","millions","6","v123220306","12.1","116.3","","","","1"
"2009/2010","Yukon","2016A000260","Population","Persons","249","thousands","3","v123220307","12.2","34.0","","","","1"
"2009/2010","Yukon","2016A000260","Per capita transport expenditures","Dollars","81","units ","0","v123220308","12.3","3419.2","","","","1"
"2009/2010","Northwest Territories","2016A000261","Transport expenditures","Dollars","81","millions","6","v123220309","13.1","164.9","","","","1"
"2009/2010","Northwest Territories","2016A000261","Population","Persons","249","thousands","3","v123220310","13.2","42.9","","","","1"
"2009/2010","Northwest Territories","2016A000261","Per capita transport expenditures","Dollars","81","units ","0","v123220311","13.3","3841.9","","","","1"
"2009/2010","Nunavut","2016A000262","Transport expenditures","Dollars","81","millions","6","v123220312","14.1","33.2","","","","1"
"2009/2010","Nunavut","2016A000262","Population","Persons","249","thousands","3","v123220313","14.2","32.8","","","","1"
"2009/2010","Nunavut","2016A000262","Per capita transport expenditures","Dollars","81","units ","0","v123220314","14.3","1012.4","","","","1"
"2010/2011","Canada","2016A000011124","Transport expenditures","Dollars","81","millions","6","v123220273","1.1","16335.8","","","","1"
"2010/2011","Canada","2016A000011124","Population","Persons","249","thousands","3","v123220274","1.2","34131.5","","","","1"
"2010/2011","Canada","2016A000011124","Per capita transport expenditures","Dollars","81","units ","0","v123220275","1.3","478.6","","","","1"
"2010/2011","Newfoundland and Labrador","2016A000210","Transport expenditures","Dollars","81","millions","6","v123220276","2.1","512.2","","","","1"
"2010/2011","Newfoundland and Labrador","2016A000210","Population","Persons","249","thousands","3","v123220277","2.2","522.8","","","","1"
"2010/2011","Newfoundland and Labrador","2016A000210","Per capita transport expenditures","Dollars","81","units ","0","v123220278","2.3","979.6","","","","1"
"2010/2011","Prince Edward Island","2106A000211","Transport expenditures","Dollars","81","millions","6","v123220279","3.1","121.8","","","","1"
"2010/2011","Prince Edward Island","2106A000211","Population","Persons","249","thousands","3","v123220280","3.2","142.7","","","","1"
"2010/2011","Prince Edward Island","2106A000211","Per capita transport expenditures","Dollars","81","units ","0","v123220281","3.3","853.0","","","","1"
"2010/2011","Nova Scotia","2016A000212","Transport expenditures","Dollars","81","millions","6","v123220282","4.1","520.3","","","","1"
"2010/2011","Nova Scotia","2016A000212","Population","Persons","249","thousands","3","v123220283","4.2","944.2","","","","1"
"2010/2011","Nova Scotia","2016A000212","Per capita transport expenditures","Dollars","81","units ","0","v123220284","4.3","551.1","","","","1"
"2010/2011","New Brunswick","2016A000213","Transport expenditures","Dollars","81","millions","6","v123220285","5.1","629.2","","","","1"
"2010/2011","New Brunswick","2016A000213","Population","Persons","249","thousands","3","v123220286","5.2","754.3","","","","1"
"2010/2011","New Brunswick","2016A000213","Per capita transport expenditures","Dollars","81","units ","0","v123220287","5.3","834.2","","","","1"
"2010/2011","Quebec","2016A000224","Transport expenditures","Dollars","81","millions","6","v123220288","6.1","4994.8","","","","1"
"2010/2011","Quebec","2016A000224","Population","Persons","249","thousands","3","v123220289","6.2","7955.0","","","","1"
"2010/2011","Quebec","2016A000224","Per capita transport expenditures","Dollars","81","units ","0","v123220290","6.3","627.9","","","","1"
"2010/2011","Ontario","2016A000235","Transport expenditures","Dollars","81","millions","6","v123220291","7.1","2521.3","","","","1"
"2010/2011","Ontario","2016A000235","Population","Persons","249","thousands","3","v123220292","7.2","13188.7","","","","1"
"2010/2011","Ontario","2016A000235","Per capita transport expenditures","Dollars","81","units ","0","v123220293","7.3","191.2","","","","1"
"2010/2011","Manitoba","2016A000246","Transport expenditures","Dollars","81","millions","6","v123220294","8.1","591.0","","","","1"
"2010/2011","Manitoba","2016A000246","Population","Persons","249","thousands","3","v123220295","8.2","1224.8","","","","1"
"2010/2011","Manitoba","2016A000246","Per capita transport expenditures","Dollars","81","units ","0","v123220296","8.3","482.5","","","","1"
"2010/2011","Saskatchewan","2016A000247","Transport expenditures","Dollars","81","millions","6","v123220297","9.1","599.0","","","","1"
"2010/2011","Saskatchewan","2016A000247","Population","Persons","249","thousands","3","v123220298","9.2","1056.1","","","","1"
"2010/2011","Saskatchewan","2016A000247","Per capita transport expenditures","Dollars","81","units ","0","v123220299","9.3","567.2","","","","1"
